Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.twoside	17_pcw	1431	10	0.893877340082492	1	ENSG00000164031:ENSG00000143627:ENSG00000161647:ENSG00000188322:ENSG00000075461:ENSG00000177548:ENSG00000102908:ENSG00000118777:ENSG00000186812:ENSG00000137338
DEG.twoside	19_pcw	1638	15	0.628603148511506	1	ENSG00000138593:ENSG00000164031:ENSG00000143627:ENSG00000161647:ENSG00000188322:ENSG00000110422:ENSG00000075461:ENSG00000100726:ENSG00000177548:ENSG00000102908:ENSG00000118777:ENSG00000050438:ENSG00000173276:ENSG00000125744:ENSG00000167702
DEG.twoside	21_pcw	1500	9	0.958948866184369	1	ENSG00000164031:ENSG00000170921:ENSG00000143627:ENSG00000161647:ENSG00000188322:ENSG00000155886:ENSG00000075461:ENSG00000149187:ENSG00000118507
DEG.twoside	24_pcw	1385	8	0.962400168960917	1	ENSG00000106853:ENSG00000103174:ENSG00000188322:ENSG00000075461:ENSG00000188536:ENSG00000131791:ENSG00000196502:ENSG00000118507
DEG.twoside	26_pcw	42	0	1	1	
DEG.twoside	37_pcw	3347	33	0.485836583799889	1	ENSG00000130147:ENSG00000138593:ENSG00000164031:ENSG00000165458:ENSG00000143627:ENSG00000138074:ENSG00000089195:ENSG00000122729:ENSG00000119711:ENSG00000092969:ENSG00000169057:ENSG00000134769:ENSG00000102908:ENSG00000078269:ENSG00000188536:ENSG00000107104:ENSG00000107623:ENSG00000130529:ENSG00000196502:ENSG00000185989:ENSG00000162496:ENSG00000144306:ENSG00000147576:ENSG00000083123:ENSG00000125779:ENSG00000103319:ENSG00000112425:ENSG00000166816:ENSG00000146386:ENSG00000137338:ENSG00000158528:ENSG00000040199:ENSG00000167702
DEG.twoside	4_mos	1064	12	0.336053767690897	1	ENSG00000119772:ENSG00000137166:ENSG00000134769:ENSG00000008300:ENSG00000118777:ENSG00000110367:ENSG00000107623:ENSG00000106261:ENSG00000147576:ENSG00000137338:ENSG00000167702:ENSG00000136883
DEG.twoside	10_mos	845	5	0.916191646914646	1	ENSG00000138074:ENSG00000114302:ENSG00000112685:ENSG00000106261:ENSG00000177352
DEG.twoside	1_yrs	2225	22	0.493377658009334	1	ENSG00000138593:ENSG00000197894:ENSG00000164031:ENSG00000160716:ENSG00000117448:ENSG00000119772:ENSG00000124562:ENSG00000160917:ENSG00000155886:ENSG00000145819:ENSG00000173258:ENSG00000050438:ENSG00000188536:ENSG00000173276:ENSG00000088387:ENSG00000133687:ENSG00000178104:ENSG00000137338:ENSG00000177352:ENSG00000103489:ENSG00000158528:ENSG00000040199
DEG.twoside	2_yrs	5469	55	0.398764082639182	1	ENSG00000115145:ENSG00000155100:ENSG00000171862:ENSG00000178053:ENSG00000138593:ENSG00000197894:ENSG00000170921:ENSG00000160716:ENSG00000165458:ENSG00000197157:ENSG00000108788:ENSG00000102100:ENSG00000134910:ENSG00000106853:ENSG00000117448:ENSG00000119711:ENSG00000119772:ENSG00000104064:ENSG00000114302:ENSG00000154930:ENSG00000188322:ENSG00000157106:ENSG00000112685:ENSG00000185104:ENSG00000110422:ENSG00000183354:ENSG00000155886:ENSG00000080845:ENSG00000167535:ENSG00000168300:ENSG00000132964:ENSG00000198055:ENSG00000169057:ENSG00000114861:ENSG00000137166:ENSG00000102908:ENSG00000127337:ENSG00000165092:ENSG00000110367:ENSG00000050438:ENSG00000088387:ENSG00000141627:ENSG00000035115:ENSG00000131791:ENSG00000196652:ENSG00000106261:ENSG00000162496:ENSG00000144306:ENSG00000130988:ENSG00000147576:ENSG00000148826:ENSG00000178104:ENSG00000166816:ENSG00000146386:ENSG00000158528
DEG.twoside	3_yrs	4448	43	0.534638877857308	1	ENSG00000155100:ENSG00000164031:ENSG00000170921:ENSG00000160716:ENSG00000165458:ENSG00000197157:ENSG00000138074:ENSG00000196911:ENSG00000076555:ENSG00000117448:ENSG00000119711:ENSG00000114302:ENSG00000154930:ENSG00000188322:ENSG00000112685:ENSG00000139684:ENSG00000149187:ENSG00000132964:ENSG00000169057:ENSG00000114861:ENSG00000134769:ENSG00000127337:ENSG00000165092:ENSG00000008300:ENSG00000118777:ENSG00000118729:ENSG00000110367:ENSG00000050438:ENSG00000107104:ENSG00000088387:ENSG00000141627:ENSG00000131791:ENSG00000162496:ENSG00000130988:ENSG00000147576:ENSG00000146005:ENSG00000133687:ENSG00000148826:ENSG00000166816:ENSG00000146386:ENSG00000137338:ENSG00000158528:ENSG00000008394
DEG.twoside	4_yrs	371	1	0.973892856518815	1	ENSG00000165092
